Age,Gender,Marital_Status,Education_Level,Dependents,Annual_Income,Total_Assets,Monthly_Expenses,Savings_Balance,Debt_to_Income_Ratio,Employment_Type,Years_at_Current_Job,Employer_Category,Loan_Amount,Loan_Purpose,Term_Months,Interest_Rate,Loan_to_Income_Ratio,FICO_Score,Existing_Credits_Count,Prev_Defaults,Credit_Utilization,Default_Status
23,Female,Married,High School,2,34201.344163962975,35514.70269161124,3008.123828479776,7968.4802530111665,1.06,Full-Time,21,Corporate,15185.100235596314,Home,12,9.58,0.44,822.2410580683767,2,0,0.27,0
49,Female,Married,Master,1,54120.134541091924,139830.5974817334,2410.1252580957444,0.0,0.53,Self-Employed,27,SME,27984.235494639062,Personal,36,13.09,0.52,580.4385869590714,1,0,0.5,0
55,Male,Divorced,Bachelor,4,57542.17332678903,130628.20889232426,1417.260683642721,44566.28871265515,0.3,Unemployed,13,Corporate,14765.210542237392,Education,60,7.0,0.26,702.0460553279638,4,0,0.48,0
59,Male,Single,Bachelor,0,46451.546280588496,27963.399532029434,1874.9297788270037,22880.49031639186,0.48,Part-Time,4,Corporate,18747.487412708444,Home,60,6.69,0.4,675.7389187547941,6,0,0.78,0
38,Male,Married,Bachelor,3,51296.01957400157,82616.98351496048,2337.795615000965,18098.87971981704,0.55,Full-Time,3,Startup,39037.63236639633,Home,24,6.28,0.76,686.5377227655364,7,0,0.41,0
40,Female,Single,PhD,1,57954.536850943805,156432.91672284325,1553.8286850268346,30051.042424669427,0.32,Full-Time,7,Corporate,24153.630899159478,Education,60,8.15,0.42,754.69585333319,9,0,0.28,0
63,Male,Divorced,Bachelor,0,60759.428795525455,75889.49151582901,5123.121326017361,6671.1093436758565,1.01,Part-Time,23,SME,26549.882452901486,Education,36,5.42,0.44,675.1335490831748,7,0,0.31,0
43,Male,Married,Master,1,42536.32946463417,196574.63218236004,3721.4283751629346,23652.598581236736,1.05,Full-Time,18,Government,25469.935585690928,Business,24,14.94,0.6,735.4926995165968,7,0,0.15,0
54,Female,Married,High School,0,75289.83185887459,148036.52366200337,1961.2132364891668,32869.35053990924,0.31,Self-Employed,16,SME,24696.463619766328,Personal,60,17.19,0.33,646.4550653702877,8,1,0.49,0
53,Male,Married,Master,3,28849.716455187354,150362.72464513287,2702.5567081618947,0.0,1.12,Full-Time,20,Corporate,23554.56820193591,Home,48,7.97,0.82,795.7582741388442,7,0,0.64,0
30,Male,Married,High School,3,66461.87885300747,276849.10712933063,1470.5512723232036,13427.584529013802,0.27,Part-Time,18,Startup,22568.275340023818,Business,24,16.16,0.34,678.7777091408375,0,0,0.58,0
53,Female,Single,High School,0,71391.49765406514,127450.39713103634,2611.15507500542,41496.53108743242,0.44,Self-Employed,13,Corporate,2000.0,Personal,60,7.4,0.03,687.934035114606,6,0,0.85,0
53,Male,Single,Bachelor,1,51570.428082631086,56100.69084353854,2180.08444425908,33893.21084939505,0.51,Unemployed,26,Corporate,33162.73100775926,Personal,36,7.23,0.64,600.5904747985277,4,0,0.15,0
46,Female,Single,Master,1,43020.21380940699,88083.97401830976,1799.3103434898544,42274.93285575891,0.5,Part-Time,7,Government,35659.58709359703,Business,12,8.76,0.83,629.2930989545983,3,0,0.73,1
40,Male,Married,Bachelor,3,48391.05837365409,113001.12764399848,2660.6631290164305,54422.63764407013,0.66,Full-Time,6,Government,11380.171819544239,Education,24,15.71,0.24,831.9936112353007,0,0,0.47,0
35,Male,Single,High School,0,75882.12670393406,168623.01435548184,3398.2415505450626,21629.72928788419,0.54,Full-Time,9,Government,15002.814957836903,Car,60,11.32,0.2,575.0351218749025,7,0,0.71,1
57,Male,Single,Bachelor,4,64059.13710600808,151907.73411280455,3185.69899970214,44628.748789308986,0.6,Full-Time,6,Corporate,11450.804633219537,Home,48,13.83,0.18,616.7893617726385,8,0,0.2,0
53,Female,Married,Bachelor,2,61812.17831165633,158780.41804718654,2933.615817229698,35040.86159313042,0.57,Full-Time,7,Corporate,10659.859761883145,Business,24,9.36,0.17,698.0685679394704,6,0,0.34,0
37,Male,Single,High School,3,56009.41794950948,134054.85090320816,3018.6405133094686,32856.362660189196,0.65,Self-Employed,27,Government,22297.237322313937,Business,48,12.75,0.4,745.2628593557565,2,0,0.49,1
25,Female,Married,Bachelor,3,61415.55468395459,150448.05128270996,1457.0788750600796,42375.50228782277,0.28,Full-Time,6,SME,32724.991217768067,Personal,48,5.43,0.53,705.0892587477513,1,0,0.56,0
24,Male,Married,PhD,4,85688.90614946489,260543.58223636728,3222.147339297084,52365.7699140428,0.45,Full-Time,12,Corporate,21544.245600513437,Education,36,9.71,0.25,645.5023948290336,0,1,0.91,1
23,Female,Married,Bachelor,0,53659.502244094285,223020.2470654816,3563.036233892784,51247.71637361695,0.8,Full-Time,7,Government,14882.88850565323,Car,60,14.47,0.28,722.3092057244489,3,0,0.48,0
41,Female,Married,Bachelor,0,52216.413836856926,65069.537194656834,2035.0072484616203,14691.174344700163,0.47,Full-Time,22,SME,20121.505609715183,Education,24,9.55,0.39,638.9630007987765,6,0,0.18,0
60,Female,Married,Bachelor,0,63318.009041340774,135817.55724738928,3237.744414796534,50359.0653752063,0.61,Full-Time,3,Corporate,18705.64854468668,Personal,48,5.86,0.3,712.465134803454,9,0,0.27,0
23,Female,Single,Master,0,56947.60835272252,79372.5936800923,2939.7928849165014,17400.682632557997,0.62,Part-Time,15,Startup,9357.892923086563,Education,36,9.56,0.16,644.2309646008837,0,0,0.36,0
41,Female,Single,PhD,1,26006.604752274958,168074.641797965,3017.952717307594,41057.54329376285,1.39,Full-Time,10,SME,9135.490822209347,Car,48,17.62,0.35,701.4910760435183,5,0,0.91,1
28,Female,Single,High School,0,93244.10888569485,64060.297955125774,3498.93969229927,40151.568811552235,0.45,Part-Time,0,SME,19918.72961344568,Education,60,17.11,0.21,610.3370162471656,2,0,0.74,0
62,Male,Single,High School,4,81676.8774606293,222178.87175412336,2381.8890104106413,33352.65695039564,0.35,Full-Time,11,Government,8137.857796660806,Home,48,10.87,0.1,680.7767515849221,9,0,0.34,0
56,Male,Single,Bachelor,4,51755.13134987748,12945.32698816256,2197.828099732553,23445.126500073377,0.51,Self-Employed,10,Startup,12427.942193304545,Home,12,7.32,0.24,662.4121785213837,7,0,0.49,0
49,Male,Single,PhD,1,70548.71409137844,141740.78404049017,2245.868965642798,26997.613157552965,0.38,Full-Time,0,Startup,13081.45542605563,Car,12,12.77,0.19,731.0495658427999,3,0,0.59,0
59,Male,Married,High School,3,58792.94858656389,101245.33526871412,1539.6109156286984,1505.4199020373417,0.31,Full-Time,29,Corporate,16000.901355082273,Car,12,11.04,0.27,748.4194031756292,0,0,0.89,0
54,Female,Single,Master,1,22092.793826997724,147351.67609343075,2884.445596684238,35744.898707776934,1.57,Part-Time,6,Corporate,22127.25634916529,Car,12,17.44,1.0,820.9361293798279,0,0,0.87,1
42,Male,Married,Bachelor,3,20000.0,209528.80967353744,2451.2781085615666,61713.51760212838,1.47,Full-Time,20,Government,18974.707466824428,Education,24,7.53,0.95,556.7488733885493,3,0,0.75,1
51,Female,Married,Bachelor,0,108487.20617401857,12444.426474798762,2782.005379730499,41644.25933906834,0.31,Full-Time,29,Government,27641.523287747863,Personal,36,14.4,0.25,725.4572689246252,4,0,0.1,0
48,Male,Divorced,Bachelor,2,51916.186496221606,286559.4382295378,4494.228240626389,12823.040866771993,1.04,Self-Employed,28,Corporate,28686.164827419467,Personal,48,17.92,0.55,688.0809765617053,6,1,0.86,1
55,Female,Married,Bachelor,0,79094.7684273829,215101.09638719284,2213.8232116465365,17476.169611865444,0.34,Self-Employed,22,SME,32724.176056643148,Education,36,15.84,0.41,661.7441984345801,0,0,0.11,0
54,Male,Married,High School,3,49640.91021792936,188944.89365505334,2568.3267757790304,25282.00822154877,0.62,Full-Time,19,SME,20939.14693791083,Education,24,5.0,0.42,625.4991029306733,2,0,0.67,1
33,Male,Divorced,High School,0,60873.3190237566,10000.0,2542.0158711146273,47494.10155829658,0.5,Full-Time,24,SME,44210.40555373344,Car,60,8.36,0.73,640.3824093413396,7,0,0.66,0
